"Line","Column","Message","Extent","RuleName","Severity","ScriptName","ScriptPath","RuleSuppressionID","SuggestedCorrections","IsSuppressed"
"36","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Find-HyperVHost.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Find-HyperVHost.TempPoint.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"54","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Find-HyperVHost.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Find-HyperVHost.TempPoint.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"21","10","The cmdlet 'List-hyperVHosts' uses an unapproved verb.","List-hyperVHosts","PSUseApprovedVerbs","Warning","Find-HyperVHost.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Find-HyperVHost.TempPoint.ps1",,,"False"
"21","10","The cmdlet 'List-hyperVHosts' uses a plural noun. A singular noun should be used instead.","List-hyperVHosts","PSUseSingularNouns","Warning","Find-HyperVHost.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Find-HyperVHost.TempPoint.ps1",,"Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent[]","False"
"72","35","'select' is an alias of 'Select-Object'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content.","select","PSAvoidUsingCmdletAliases","Warning","Find-HyperVHosts.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Find-HyperVHosts.TempPoint.ps1","select","System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"76","14","'%' is an alias of 'ForEach-Object'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content.","%","PSAvoidUsingCmdletAliases","Warning","Find-HyperVHosts.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Find-HyperVHosts.TempPoint.ps1","%","System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"86","16","'%' is an alias of 'ForEach-Object'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content.","%","PSAvoidUsingCmdletAliases","Warning","Find-HyperVHosts.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Find-HyperVHosts.TempPoint.ps1","%","System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"72","2","Found global variable 'GLOBAL:forests'.","$GLOBAL:forests","PSAvoidGlobalVars","Warning","Find-HyperVHosts.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Find-HyperVHosts.TempPoint.ps1","GLOBAL:forests",,"False"
"1","3","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Find-HyperVHosts.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Find-HyperVHosts.TempPoint.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"7","16","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Find-HyperVHosts.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Find-HyperVHosts.TempPoint.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"36","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Find-HyperVHosts.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Find-HyperVHosts.TempPoint.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"54","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Find-HyperVHosts.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Find-HyperVHosts.TempPoint.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"21","10","The cmdlet 'List-hyperVHosts' uses an unapproved verb.","List-hyperVHosts","PSUseApprovedVerbs","Warning","Find-HyperVHosts.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Find-HyperVHosts.TempPoint.ps1",,,"False"
"48","4","The cmdlet 'List-hyperVHosts' returns an object of type 'System.String' but this type is not declared in the OutputType attribute.","""Failed to query $dc of $domain""","PSUseOutputTypeCorrectly","Information","Find-HyperVHosts.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Find-HyperVHosts.TempPoint.ps1",,,"False"
"21","10","The cmdlet 'List-hyperVHosts' uses a plural noun. A singular noun should be used instead.","List-hyperVHosts","PSUseSingularNouns","Warning","Find-HyperVHosts.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Find-HyperVHosts.TempPoint.ps1",,"Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent[]","False"
"32","23","'%' is an alias of 'ForEach-Object'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content.","%","PSAvoidUsingCmdletAliases","Warning","Get-HypervHealth.p1.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.ps1","%","System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
